Name,Brand,Category,Image URL,Price,MSRP,Units Available
NutriBullet 1200W Ultra Personal Blender,NutriBullet,Home & Wellness Tech,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202537/0028/img27xl.jpg,$22.00,$109.99,"8,370"
NutriBullet 600W  Personal Blender,NutriBullet,Home & Wellness Tech,https://media.kohlsimg.com/is/image/kohls/1098808_Gray?wid=1500&hei=1500&op_sharpen=1,$12.87,$64.37,"2,715"
NutriBullet 900W Pro Personal Blender Matte White,NutriBullet,Home & Wellness Tech,https://cb.scene7.com/is/image/Crate/NutribulletProMtWhtSSF25_VND?$web_pdp_main_carousel_high$,$20.93,$104.65,"2,523"
NutriBullet 900W Pro Black  Personal Blender,NutriBullet,Home & Wellness Tech,https://i5.walmartimages.com/seo/Nutribullet-Pro-32-oz-900-Watt-Personal-Blender-Matte-Black-NB9-0901AK_0aa47484-8b12-4bc1-96b3-a1da2c0cbb5a.378b4202b152138c02c853eb5065f5bf.jpeg?odnHeight=573&odnWidth=573&odnBg=FFFFFF,$14.60,$73.00,983
NutriBullet Juicer Machine 800W,NutriBullet,Home & Wellness Tech,"https://slimages.macysassets.com/is/image/MCY/products/9/optimized/18109569_fpx.tif?op_sharpen=1&wid=700&fit=fit,1&fmt=webp",$22.00,$110.00,799
