Name,Brand,Category,Image URL,Price,MSRP,Units Available
Hatch Restore 1,Hatch,Home & Wellness Tech,"https://m.media-amazon.com/images/I/51nV0mKYRWL._AC_UF1000,1000_QL80_.jpg",$20.00,$99.99,"6,400"
Hatch Restore 2,Hatch,Home & Wellness Tech,"https://m.media-amazon.com/images/I/81JzAzh9YwL._AC_UF350,350_QL80_.jpg",$34.00,$169.99,"4,357"
Hatch Restore 3,Hatch,Home & Wellness Tech,https://www.hatch.co/_next/image?url=https%3A%2F%2Fwww.datocms-assets.com%2F98401%2F1735102111-restore-3-putty-carousel-6.png&w=3840&q=75,$34.00,$169.99,198
