Name,Brand,Category,Image URL,Price,MSRP,Units Available,,455
CONVEX BLK 60X60 WALL MIRROR,Arhaus,Mirrors,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 777 each,"$2,350",33,,
CONVEX BLK 48X48 WALL MIRROR,Arhaus,Mirrors,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/Markie_WallMirror_6002239_Black_F-1-3mobile.jpg?v=1725387699,$ 429 each,"$1,350",25,,
CONVEX BLK 36X36 WALL MIRROR,Arhaus,Mirrors,https://storage.googleapis.com/floorfound-prod-cdn/br_home/products/images/8bd457c1-0c73-480a-a30f-8aa557f1b0f8.png,$ 241 each,$800,32,,
CARVED NAT 64X98 FLR MIRROR,Arhaus,Mirrors,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 643 each,"$1,999",18,,
CARVED NAT 42X76 FLR MIRROR,Arhaus,Mirrors,https://storage.googleapis.com/floorfound-prod-cdn/arhaus/products/images/dbc22f94-18d7-4f81-bc57-be6ab51f907f.jpg,$ 241 each,$900,25,,
CARVED NAT 36X48 FLR MIRROR,Arhaus,Mirrors,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/Serena_FloorMirror_6002270_Natural_F-1-3mobile.jpg?v=1720547158,$ 348 each,"$1,299",35,,
CARVED BLK 64X98 FLR MIRROR,Arhaus,Mirrors,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 643 each,"$1,999",17,,
CARVED BLK 42X76 FLR MIRROR,Arhaus,Mirrors,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/Serena_FloorMirror_6002270_Black_F-1-2tablet.jpg?v=1720547152,$ 241 each,$600,25,,
CARVED BLK 36X48 FLR MIRROR,Arhaus,Mirrors,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/Serena_FloorMirror_6002270_Black_F-1-2tablet.jpg?v=1720547152,$ 348 each,"$1,299",38,,
BRZ WALL MIRROR 3,Arhaus,Mirrors,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/Sydney_WallMirror_6002890_Bronze_78_F-1-2tablet.jpg?v=1721238650,$ 777 each,"$2,800",26,,
BRZ WALL MIRROR 2,Arhaus,Mirrors,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 696 each,"$2,500",29,,
BRZ WALL MIRROR 1,Arhaus,Mirrors,https://storage.googleapis.com/floorfound-prod-cdn/br_home/products/images/fb4bf27b-c87f-4fcd-a053-44166a60e151.jpg,$ 509 each,"$1,750",29,,
BLK WALL MIRROR,Arhaus,Mirrors,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 670 each,"$2,100",14,,
AFRICAN CLAY ROPE CHARCOAL,Arhaus,Decor,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 490 each,"$1,829",14,,
"SENA 39"" BOOKCASE IN BROWN",Arhaus,Furniture,https://storage.googleapis.com/floorfound-prod-cdn/br_home/products/images/bc5e889a-2194-41a0-bf73-7db1248af1cb.jpg,$ 280 each,$610,2,,
"SEEMA 48"" CAB WOOD 2 DR BROWN",Arhaus,Decor,https://storage.googleapis.com/floorfound-prod-cdn/br_home/products/images/2f102ae8-0084-441d-8e04-ce7512aab270.jpg,$ 827 each,"$1,800",2,,
"SEEMA 48"" CAB TALL WD 2 DR BRN",Arhaus,Decor,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/Seema_Cabinet_6002771_Brown_Large_F_1x1_43b350a0-173c-4427-8f23-69c24b23997e.png?v=1724441805,"$ 1,792 each","$3,899",40,,
"SEEMA 48"" CAB GLASS 4 DR BROWN",Arhaus,Decor,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,"$ 1,838 each","$3,999",15,,
"RIVO 84"" SDBD 4 DR BROWN",Arhaus,Decor,https://storage.googleapis.com/floorfound-prod-cdn/arhaus/products/images/4275af7e-147e-4be8-b03f-5241d42c467b.jpg,$ 597 each,"$1,300",7,,
"POGORO 71"" REEDED SDBD NAT",Arhaus,Decor,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 322 each,$701,9,,
PHOENIX 97 MED CON 3 DR BROWN,Arhaus,Decor,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/PhoenixMediaConsole-6002020-Teak-OneSize-P01-tablet.jpg?v=1693596828,$ 472 each,"$1,027",5,,
"PHOENIX 68"" SDBD BRN TEAK",Arhaus,Decor,https://storage.googleapis.com/floorfound-prod-cdn/br_home/products/images/01f847a2-dc8f-4d60-957c-c76b56d08a0d.jpg,$ 689 each,"$1,500",4,,
PHOENIX 65 MED CON 2 DR BROWN,Arhaus,Decor,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 505 each,"$1,100",3,,
LISBON 48 OAK CURVE BOOK BLK,Arhaus,Decor,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 475 each,"$1,034",1,,
CLIFTON 72 SDBD 4 DR ATQ BRASS,Arhaus,Decor,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 505 each,"$1,059",23,,
BAILEY 98 MED CON BRN MGNY,Arhaus,Decor,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 312 each,$679,3,,
BAILEY 65 MED CON BRN MGNY,Arhaus,Decor,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 322 each,$700,13,,
"AMBLE 68"" SDBD 3 DR BRN TEAK",Arhaus,Decor,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 689 each,"$1,500",11,,
"SEDONA UPH 48""W OTTO OYSTER",Arhaus,Decor,https://storage.googleapis.com/floorfound-prod-cdn/br_home/products/images/8a6fa2fe-3894-42e8-b7cc-31704c88450e.jpg,$ 395 each,"$1,200",19,,
"RYE WD 20""W TRI CHR BROWN",Arhaus,Decor,https://storage.googleapis.com/floorfound-prod-cdn/br_home/products/images/5a3e6f26-1454-4851-8b17-f31f17ee63ac.png,$ 224 each,$680,19,,
