Name,Brand,Image URL,Price,MSRP,Units Available,Category
Maxime Dresser Mirror,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/nc1qzq5z7blbkrxtaack/Modus_Furniture_Maxime_Dresser_Mirror_in_Ash_655450395406_MSNF83_Image01.jpg",$ 10 each,$329,13,Mirrors
Hearst Solid Wood Full-Size Panel Bed in Sahara Tan,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/a45b26ef8d44a60ba382560ba9b8d07d30010b71/Modus_Furniture_Hearst_Solid_Wood_Panel_Bed_in_Sahara_Tan_655450293375_6VF3A_Image01.jpg",$ 99 each,"$2,109",13,Furniture
Flex King-size Upholstered Bed in Blue Jeans Chenille,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/sf1ln2boppikdpcifyuh/Modus_Furniture_Flex_Upholstered_Bed_in_Blue_Jeans_Chenille_655450472404_SRXMH_Image01.jpg",$ 199 each,"$3,449",57,Furniture
Flex King-size Upholstered Bed in Emerald Chenille,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/o54od9vf7uwjzxv4zbhj/Modus_Furniture_Flex_Upholstered_Bed_in_Emerald_Chenille_655450464843_SRWKH_Image01.jpg",$ 199 each,"$3,449",67,Furniture
Yosemite King-size Upholstered Footboard Storage Bed in Cafe,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/5c5e53976ef54484c6b186d3ad9766f67e8c7a77/Modus_Furniture_Yosemite_Upholstered_Footboard_Storage_Bed_in_Cafe_655450150616_7YC9S_Image01.jpg",$ 279 each,"$4,119",2,Furniture
Yosemite California King-size Upholstered Footboard Storage Bed in Cafe,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/5c5e53976ef54484c6b186d3ad9766f67e8c7a77/Modus_Furniture_Yosemite_Upholstered_Footboard_Storage_Bed_in_Cafe_655450150616_7YC9S_Image01.jpg",$ 279 each,"$4,129",6,Furniture
Yosemite Queen-size Upholstered Footboard Storage Bed in Cafe,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/5c5e53976ef54484c6b186d3ad9766f67e8c7a77/Modus_Furniture_Yosemite_Upholstered_Footboard_Storage_Bed_in_Cafe_655450150616_7YC9S_Image01.jpg",$ 279 each,"$3,239",3,Furniture
Yosemite King-size Upholstered Panel Bed in Cafe,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/9b2767e69994a17cbeedb1d3798a332941b67080/Modus_Furniture_Yosemite_Upholstered_Wood_Panel_Bed_in_Cafe_655450126277_7YC9P_Image01.jpg",$ 199 each,"$3,049",2,Furniture
Yosemite California King-size Upholstered Panel Bed in Cafe,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/9b2767e69994a17cbeedb1d3798a332941b67080/Modus_Furniture_Yosemite_Upholstered_Wood_Panel_Bed_in_Cafe_655450126277_7YC9P_Image01.jpg",$ 199 each,"$3,049",3,Furniture
Yosemite Queen-size Upholstered Panel Bed in Cafe,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/9b2767e69994a17cbeedb1d3798a332941b67080/Modus_Furniture_Yosemite_Upholstered_Wood_Panel_Bed_in_Cafe_655450126277_7YC9P__Image_1.jpg",$ 199 each,"$2,109",3,Furniture
Townsend Solid Wood Console Table in Java,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/3477c077a605fc663a9806bcc63a3dcef803fb73/Modus_Furniture_Townsend_Solid_Wood_Console_Table_in_Java_655450170898_8T0623_Image01.jpg",$ 199 each,"$1,869",1,Furniture
Townsend Solid Wood Side Table in Java,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/f5b103c42224ce252bd9614eba4cb4caab590ffb/Modus_Furniture_Townsend_Solid_Wood_Side_Table_in_Java_655450170881_8T0622_Image_1.jpg",$ 99 each,"$1,189",65,Furniture
Taryn Wood Chair in Rustic Grey Set of 2,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/gdhm9unhbwesrfi0cizg/Modus_Furniture_Taryn_Wood_Chair_in_Rustic_Grey_655450234620_9Y1366W_Image01.jpg",$ 19 each,$789,1,Furniture
Townsend Solid Wood Castered Coffee Table in Java,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/83cf60cc3b36872ed8f50de824f9e49d9fee65fe/Modus_Furniture_Townsend_Solid_Wood_Castered_Coffee_Table_in_Java_655450170874_8T0621_Image01.jpg",$ 199 each,"$1,799",28,Furniture
Saxon Console Table in Matte Black,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/ecb0f8deb5496c6dc2b7ccffdb2ff0e491776f73/Modus_Furniture_Saxon_Console_Table_in_Matte_Black_655450297595_A9R323_Image01.jpg",$ 99 each,"$1,309",21,Furniture
Saxon End Table in Matte Black,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/46a215169dc9b5f69bca48cea49c2f79faf66bea/Modus_Furniture_Saxon_End_Table_in_Matte_Black_655450297564_A9R322_Image01.jpg",$ 49 each,$889,25,Furniture
Savage King-size Maximalist Upholstered Bed in Sandy Chenille,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/akqgvvnj6jeqhnw1tvun/Modus_Furniture_Savage_Maximalist_Upholstered_Bed_in_Sandy_Chenille_655450472275_SRXKH_Image01.jpg",$ 299 each,"$4,799",16,Furniture
Savage California King-size Maximalist Upholstered Bed in Sandy Chenille,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/akqgvvnj6jeqhnw1tvun/Modus_Furniture_Savage_Maximalist_Upholstered_Bed_in_Sandy_Chenille_655450472275_SRXKH__Image_1.jpg",$ 299 each,"$4,799",17,Furniture
Savage Queen-size Maximalist Upholstered Bed in Sandy Chenille,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/akqgvvnj6jeqhnw1tvun/Modus_Furniture_Savage_Maximalist_Upholstered_Bed_in_Sandy_Chenille_655450472275_SRXKH__Image_1.jpg",$ 299 each,"$3,679",41,Furniture
Savage King-size Maximalist Upholstered Bed in Ruby Chenille,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/kdzcn1kdo74shngk7h8r/Modus_Furniture_Savage_Maximalist_Upholstered_Bed_in_Ruby_Chenille_655450464744_SRWLH__Image_1.jpg",$ 299 each,"$4,799",12,Furniture
