Name,Brand,Category,Image URL,Price,MSRP,Units Available,,837
"Farrow 72.5L x 14W x 20H Brass Wood and Metal TV Stand Media Console with Storage, TV up to 83""",Mercana,Furniture,https://marketplace.mercana.com/images/0009559_50502_A.jpeg,"$ 1,749.99 each","$1,519",4,,
Sphaira Noir II Large 7L x 7W Gold Cast Aluminum Decorative Tree Branch Orb,Mercana,Decor,https://marketplace.mercana.com/images/0027320_68414_A.jpeg,$ 67.99 each,$59,76,,
Genevieve II 70x15.8 Gray Fir Veneer W/Gold Metal Frame Base 9 Drawer Sideboard,Mercana,Furniture,https://marketplace.mercana.com/images/0023606_68116_A.jpeg,"$ 2,199.99 each",N/A,46,,
Sandy III (Large) 8L x 4W White Coastal Sand Dollar Object,Mercana,Decor,https://marketplace.mercana.com/images/0021694_67984_A.jpeg,$ 95.99 each,$89,57,,
Sandy II (Medium) 6L x 3W White Coastal Sand Dollar Object,Mercana,Decor,https://marketplace.mercana.com/images/0021695_67983_A.jpeg,$ 69.99 each,N/A,10,,
"Debdou (61""H) Gold Metal Adjustable Cinema-Style Floor Lamp",Mercana,Furniture,https://marketplace.mercana.com/images/0012378_65134_A.jpeg,$ 379.99 each,$339,9,,
Piero Large Concrete Finished Metal Decorative Bowl,Mercana,Decor,https://marketplace.mercana.com/images/0087904_70660_A.jpeg,$ 249.99 each,$219,12,,
Kyle Lumbar Pillow Cover,Mercana,Pillows & Rugs,https://marketplace.mercana.com/images/0074733_70339_A.jpeg,$ 24.49 each,$21,13,,
Rylee 11.6H White Ceramic Vase,Mercana,Decor,https://marketplace.mercana.com/images/0063728_69802_A.jpeg,$ 54.99 each,$59,24,,
Amos 20.5L x 20.5W x 31.9H White and Dark Beige Color Blocked Ceramic Floor Vase,Mercana,Decor,https://marketplace.mercana.com/images/0063108_69796_A.jpeg,$ 849.99 each,$949,31,,
Gobi 23L x 28H Large Gray Ceramic Oval Vase,Mercana,Decor,https://marketplace.mercana.com/images/0043719_69407_A.jpeg,$ 829.99 each,$689,2,,
Tauro IV (Set of 2) Black Cast Aluminum Raging Bull Wall Decor,Mercana,Decor,https://marketplace.mercana.com/images/0042559_69077_A.jpeg,$ 72.99 each,$69,59,,
Cove Grey/Brown Ceramic Vase,Mercana,Decor,https://marketplace.mercana.com/images/0035100_68906_A.jpeg,$ 134.99 each,$119,66,,
Carell 31L x 18W Black Metal And Wood Shelf Hall Tree,Mercana,Furniture,https://marketplace.mercana.com/images/0034418_68821_A.jpeg,$ 269.99 each,$279,41,,
Louis Set of 2 Natural Wood Slated Nesting Trays,Mercana,Decor,https://marketplace.mercana.com/images/0029918_68639_A.jpeg,$ 259.99 each,$149,28,,
Tanami II Short Dark Brown/White Glazed Ceramic Vase,Mercana,Decor,https://marketplace.mercana.com/images/0017902_67673_A.jpeg,$ 88.99 each,$89,83,,
Tanami I Tall Dark Brown/White Ceramic Vase,Mercana,Decor,https://marketplace.mercana.com/images/0017898_67672_A.jpeg,$ 119.99 each,$109,116,,
Brillion Large Rustic Wood Metal Table Candle Holder,Mercana,Furniture,https://marketplace.mercana.com/images/0009650_53143_A.jpeg,$ 249.99 each,$219,35,,
Brillion Small Rustic Wood Metal Table Candle Holder,Mercana,Furniture,https://marketplace.mercana.com/images/0009648_53142_A.jpeg,$ 144.99 each,$129,17,,
Truett White w/ Blue Stripes Ceramic Jug Vase,Mercana,Decor,https://marketplace.mercana.com/images/0090402_70976_A.jpeg,$ 109.99 each,$99,81,,
Medina Antiqued Black Metal Planters (Set of 2),Mercana,Decor,https://marketplace.mercana.com/images/0083043_70548_A.jpeg,$ 154.99 each,$149,9,,
Medina Off White w/ Gold Antiquing Metal Planters (Set of 2),Mercana,Decor,https://marketplace.mercana.com/images/0083042_70547_A.jpeg,$ 154.99 each,$149,6,,
Jenna Cream w/ Black Print Linen Lumbar Decorative Pillow Cover,Mercana,Pillows & Rugs,https://marketplace.mercana.com/images/0074331_70322_A.jpeg,$ 54.99 each,$49,23,,
